Codigo Departamento,Codigo Municipio,Nombre Departamento,Nombre Municipio,Tipo: Municipio / Isla / Area no municipalizada
5,5001,ANTIOQUIA,MEDELLIN,Municipio
5,5002,ANTIOQUIA,ABEJORRAL,Municipio
5,5004,ANTIOQUIA,ABRIAQUI,Municipio
5,5021,ANTIOQUIA,ALEJANDRIA,Municipio
5,5030,ANTIOQUIA,AMAGA,Municipio
5,5031,ANTIOQUIA,AMALFI,Municipio
5,5034,ANTIOQUIA,ANDES,Municipio
5,5036,ANTIOQUIA,ANGELOPOLIS,Municipio
5,5038,ANTIOQUIA,ANGOSTURA,Municipio
5,5040,ANTIOQUIA,ANORI,Municipio
5,5042,ANTIOQUIA,SANTA FE DE ANTIOQUIA,Municipio
5,5044,ANTIOQUIA,ANZA,Municipio
5,5045,ANTIOQUIA,APARTADO,Municipio
5,5051,ANTIOQUIA,ARBOLETES,Municipio
5,5055,ANTIOQUIA,ARGELIA,Municipio
5,5059,ANTIOQUIA,ARMENIA,Municipio
5,5079,ANTIOQUIA,BARBOSA,Municipio
5,5086,ANTIOQUIA,BELMIRA,Municipio
5,5088,ANTIOQUIA,BELLO,Municipio
5,5091,ANTIOQUIA,BETANIA,Municipio
5,5093,ANTIOQUIA,BETULIA,Municipio
5,5101,ANTIOQUIA,CIUDAD BOLIVAR,Municipio
5,5107,ANTIOQUIA,BRICENO,Municipio
5,5113,ANTIOQUIA,BURITICA,Municipio
5,5120,ANTIOQUIA,CACERES,Municipio
5,5125,ANTIOQUIA,CAICEDO,Municipio
5,5129,ANTIOQUIA,CALDAS,Municipio
5,5134,ANTIOQUIA,CAMPAMENTO,Municipio
5,5138,ANTIOQUIA,CANASGORDAS,Municipio
5,5142,ANTIOQUIA,CARACOLI,Municipio
5,5145,ANTIOQUIA,CARAMANTA,Municipio
5,5147,ANTIOQUIA,CAREPA,Municipio
5,5148,ANTIOQUIA,EL CARMEN DE VIBORAL,Municipio
5,5150,ANTIOQUIA,CAROLINA,Municipio
5,5154,ANTIOQUIA,CAUCASIA,Municipio
5,5172,ANTIOQUIA,CHIGORODO,Municipio
5,5190,ANTIOQUIA,CISNEROS,Municipio
5,5197,ANTIOQUIA,COCORNA,Municipio
5,5206,ANTIOQUIA,CONCEPCION,Municipio
5,5209,ANTIOQUIA,CONCORDIA,Municipio
5,5212,ANTIOQUIA,COPACABANA,Municipio
5,5234,ANTIOQUIA,DABEIBA,Municipio
5,5237,ANTIOQUIA,DONMATIAS,Municipio
5,5240,ANTIOQUIA,EBEJICO,Municipio
5,5250,ANTIOQUIA,EL BAGRE,Municipio
5,5264,ANTIOQUIA,ENTRERRIOS,Municipio
5,5266,ANTIOQUIA,ENVIGADO,Municipio
5,5282,ANTIOQUIA,FREDONIA,Municipio
5,5284,ANTIOQUIA,FRONTINO,Municipio
5,5306,ANTIOQUIA,GIRALDO,Municipio
5,5308,ANTIOQUIA,GIRARDOTA,Municipio
5,5310,ANTIOQUIA,GOMEZ PLATA,Municipio
5,5313,ANTIOQUIA,GRANADA,Municipio
5,5315,ANTIOQUIA,GUADALUPE,Municipio
5,5318,ANTIOQUIA,GUARNE,Municipio
5,5321,ANTIOQUIA,GUATAPE,Municipio
